siteID,Latitude,Longitude,index
AB1,54.4444449292308,-115.5310885,1
AB2,54.4369577656,-115.546699832,2
AB3,54.2283351323077,-115.311921907692,3
AB4,54.2208944726087,-115.313447534783,4
ABBY,45.7587530504202,-122.332437806723,5
AL1,64.7660804986956,-148.274619217391,6
AL2,64.7596194166667,-148.253993258333,7
BARR,71.2660272727273,-156.579992727273,8
BART,44.053639590604,-71.2812068993289,9
BC1,49.6352806645833,-119.5784501625,10
BC2,49.3239084543478,-119.50051083913,11
BC3,49.28553383,-119.58517448,12
BC4,49.9219529722727,-120.078533159091,13
BC5,49.9803904995833,-119.963905358333,14
BC6,49.9954043469231,-119.075741907692,15
BC7,50.0181330376,-119.054137704,16
BLAN,39.0769743266667,-78.0037483333333,17
BONA,65.1673697307692,-147.523059807692,18
CA1,37.8425573708,-119.938177136,19
CA2,37.8127337526087,-119.912923078261,20
CA3,37.8086658415385,-119.492623223077,21
CA4,37.8514813992,-119.44082082,22
CA5,37.9106987527273,-119.263259504545,23
CA6,37.9127973991667,-119.265737075,24
CLBJ,33.3899067628866,-97.5923859536082,25
CO1,40.036059658,-105.54218148,26
CO2,40.045452962,-105.57365744,27
CO3,40.02910542,-105.52839785,28
CO4,40.0025064424,-105.302448692,29
CO5,39.25975041625,-105.9595126,30
CO6,39.2097262604348,-106.100755882609,31
CO7,39.198710262,-106.08505216,32
CPER,40.8235871434978,-104.729696995516,33
CT1,41.8726563695455,-73.3434114936364,34
CT2,41.8271989784,-72.9672723796,35
DCFS,47.1730742678571,-99.1123501071429,36
DEJU,63.8705936181818,-145.747221945455,37
DELA,32.5349613968254,-87.8109224920635,38
DSNY,28.0936883873239,-81.4193551690141,39
FL1,29.7397471148,-82.2308246668,40
FL2,29.71011839,-82.4755531946154,41
GRSM,35.6753606936937,-83.5190811261261,42
GUAN,17.9697699583333,-66.8584930138889,43
HARV,42.4770104242424,-72.2209751856061,44
HEAL,63.8780390555556,-149.241828518519,45
JERC,31.194676,-84.4643197538462,46
JORN,32.5972751594203,-106.838146710145,47
KONA,39.1558354102564,-96.616113948718,48
KONZ,39.0996819027778,-96.5589671944444,49
LAJA,18.025205048,-67.07648296,50
LENO,31.8332767090909,-88.1755055363636,51
MI1,46.6183431366667,-88.6170592177778,52
MI2,46.6456863054167,-88.5298196095833,53
MI3,46.57420626,-88.3398516745833,54
MI4,46.5734785441667,-88.2952749395833,55
MI5,46.5613348826087,-86.2130874986957,56
MI6,46.5374789071429,-86.2209325985714,57
MLBS,37.3837621449275,-80.5335962608696,58
MN1,47.3750051276,-94.7144563012,59
MN2,46.7481710013043,-94.84204187,60
MOAB,38.2364151333333,-109.39567425,61
MS1,34.4310771972,-89.3888295584,62
MS2,34.4607871068,-89.317614806,63
MT1,44.2088722553846,-111.446339415385,64
MT2,45.491583270625,-110.97351655625,65
MT3,45.5218233979167,-111.021490325,66
MT4,45.0667912511111,-109.936605944444,67
MT5,45.0103198861111,-109.868030105556,68
NC1,36.01252968,-78.9701051915385,69
NC2,35.9881914554167,-79.0897635395833,70
NIWO,40.0485035917431,-105.572004133028,71
NOGP,46.7823966209677,-100.915842612903,72
OAES,35.4123563382353,-99.0609424411765,73
ON1,46.3259688261538,-83.5400913984615,74
ON2,46.3539149725,-83.6106409479167,75
ON3,46.757703919375,-83.847522464375,76
ON4,46.8514004610526,-83.6581334142105,77
ONAQ,40.1820510275862,-112.467243282759,78
OR1,42.7909948343478,-121.626516626087,79
OR2,42.79273328,-121.618455655556,80
OR3,43.3746228647619,-121.236024719048,81
OR4,43.42413492,-121.267696433333,82
ORNL,35.9558163888889,-84.2638058407407,83
OSBS,29.696793125,-81.9848729605263,84
PR1,38.099122452,-122.89011128,85
PR2,38.12041808,-122.896437748,86
PR3,38.0887231346154,-122.874804,87
RMNP,40.2225025454545,-105.525398909091,88
SCBI,38.8929762216495,-78.1443900206186,89
SERC,38.8845850656934,-76.5521467591241,90
SJER,37.1112284624277,-119.738618225434,91
SOAP,37.034051826087,-119.265579,92
SRER,31.8749805297619,-110.844070547619,93
STEI,45.7073205967742,-89.9088442096774,94
STER,40.4688038733333,-103.023711973333,95
TALL,32.9440648658537,-87.4179606951219,96
TOOL,68.6267309285714,-149.442927952381,97
TREE,45.4903788833333,-89.575334225,98
TX1,30.10104867,-97.2325940361538,99
TX2,30.70876478,-93.8277191830769,100
TX3,30.6322539075,-93.82999902875,101
TX4,31.0765298392,-94.270156316,102
UKFS,39.0434645190476,-95.1973229285714,103
UNDE,46.2396722209738,-89.5323349026217,104
VA1,37.2621751890909,-80.4914676295455,105
VA2,37.3908679011111,-80.5486945411111,106
WOOD,47.1321548041667,-99.2484817416667,107
WREF,45.8310794810127,-121.981010392405,108
WY1,41.0671237776,-106.119944888,109
WY2,41.3655872047826,-106.241370591304,110
WY3,41.2138867356522,-105.415089795652,111
WY4,41.1538934696667,-105.361042,112
YELL,44.9498138,-110.5256801,113
